65,RIP RAP (#50),RIP RAP,RIP RAP (#50,source,,,8
226,HOURLY SKID STEER,HOURLY SKID STEER,,,,,8
227,HEAVY DIRT,HEAVY DIRT,,,,,8
240,CLAY,CLAY,,,,,8
249,JAW ROCK (ICM),JAW ROCK,JAW ROCK (ICM,source,,,8
311,CREDIT CARD FEE,CREDIT CARD FEE,,,,,8
440,BACK HAUL RAP/MILLING,BACK HAUL RAP/MILLING,,,,,8
445,TYPE 1/5 BASE (VB),TYPE 1/5 BASE,TYPE 1/5 BASE (VB,source,,,8
475,HOURLY (DIRT HAUL),HOURLY,HOURLY (DIRT HAUL,hourly_context,,,8
504,TYPE 2 ROCK BLANKET (BW),TYPE 2 ROCK BLANKET,TYPE 2 ROCK BLANKET (BW,source,,,8
52,HOURLY (ASPH),HOURLY,HOURLY (ASPH,hourly_context,,,7
75,HOURLY (BUSTED ASPHALT),HOURLY,HOURLY (BUSTED ASPHALT,hourly_context,,,7
215,"1 1/2"" CLEAN GRAVEL (WS)","1 1/2"" CLEAN GRAVEL","1 1/2"" CLEAN GRAVEL (WS",source,,,7
236,"1"" CLEAN (SEMO)","1"" CLEAN","1"" CLEAN (SEMO",source,,,7
238,RIP RAP #200 (WS),RIP RAP #200,RIP RAP #200 (WS,source,,,7
277,SHINGLES (PB),SHINGLES,SHINGLES (PB,source,,,7
278,SAND (BK),SAND,SAND (BK,source,,,7
427,HOURLY WORK TIME (PLANT),HOURLY WORK TIME,HOURLY WORK TIME (PLANT,hourly_context,,,7
478,HAULING SAND,HAULING SAND,,,,,7
489,ASPHALT (MINERAL AREA),ASPHALT,ASPHALT (MINERAL AREA,source,,,7
1,"1"" BASE (WS)","1"" BASE","1"" BASE (WS",source,,,6
9,"1"" MINUS BROWN (ARAB)","1"" MINUS BROWN","1"" MINUS BROWN (ARAB",source,,,6
12,"1"" MINUS STOCKPILE","1"" MINUS STOCKPILE",,,,,6
144,SCREENINGS,SCREENINGS,,,,,6
167,PERMITS,PERMITS,,,,,6
184,"2"" CLEAN (ARAB)","2"" CLEAN","2"" CLEAN (ARAB",source,,,6
189,HAULING ROCK ONLY,HAULING ROCK ONLY,,,,,6
221,CONCRETE WASTE,CONCRETE WASTE,,,,,6
317,SCREEINGS (DON),SCREEINGS,SCREEINGS (DON,source,,,6
376,HOURLY (TRAILER MOVE),HOURLY,HOURLY (TRAILER MOVE,hourly_context,,,6
385,HOURLY (STOCKPILING ROCK),HOURLY,HOURLY (STOCKPILING ROCK,hourly_context,,,6
399,"2"" MINUS (SEMO)","2"" MINUS","2"" MINUS (SEMO",source,,,6
463,LOADING DIRT,LOADING DIRT,,,,,6
464,"WASHED 1"" OPEN (DEXTER)","WASHED 1"" OPEN","WASHED 1"" OPEN (DEXTER",source,,,6
501,"1"" MINUS (BLUEWING-VB)","1"" MINUS","1"" MINUS (BLUEWING-VB",source,,,6
30,BUSTED CONCRETE,BUSTED CONCRETE,,,,,5
32,RED LIME (SCAGGS),RED LIME,RED LIME (SCAGGS,source,,,5
178,PEA GRAVEL,PEA GRAVEL,,,,,5
180,"1"" MINUS (SHOP)","1"" MINUS","1"" MINUS (SHOP",source,,,5
194,"1/2"" MINUS (BASEROCK)","1/2"" MINUS","1/2"" MINUS (BASEROCK",source,,,5
210,DIRT (PITS),DIRT,DIRT (PITS,source,,,5
229,"3"" MINUS","3"" MINUS",,,,,5
243,90# RIP RAP (CQ),90# RIP RAP,90# RIP RAP (CQ,source,,,5
254,"2"" CLEAN (VBS)","2"" CLEAN","2"" CLEAN (VBS",source,,,5
286,"2 1/2"" LATERAL (ICM-DNPHN)","2 1/2"" LATERAL","2 1/2"" LATERAL (ICM-DNPHN",source,,,5
320,SAND (WS),SAND,SAND (WS,source,,,5
348,AGLIME (SPREADING ONLY)By The Acre,AGLIME,AGLIME (SPREADING ONLY,service,,,5
351,HOURLY (WASTE ROCK),HOURLY,HOURLY (WASTE ROCK,hourly_context,,,5
408,HOURLY (COLD MIX),HOURLY,HOURLY (COLD MIX,hourly_context,,,5
411,GYPSUM (Prairie State),GYPSUM,GYPSUM (Prairie State,source,,,5
471,GABION STONE (BLUEWING),GABION STONE,GABION STONE (BLUEWING,source,,,5
499,Hourly(RipRap),Hourly,Hourly(RipRap,hourly_context,,,5
511,TOPSOIL (ICM),TOPSOIL,TOPSOIL (ICM,source,,,5
25,"1"" CLEAN","1"" CLEAN",,,,,4
64,"1"" BASE (SHOP)","1"" BASE","1"" BASE (SHOP",source,,,4
66,HOURLY (DIRT HAUL OFF),HOURLY,HOURLY (DIRT HAUL OFF,hourly_context,,,4
78,"3/4"" CLEAN (ARAB)","3/4"" CLEAN","3/4"" CLEAN (ARAB",source,,,4
95,"1/2"" CLEAN (SEMO)","1/2"" CLEAN","1/2"" CLEAN (SEMO",source,,,4
99,HOURLY (MAINTENANCE),HOURLY,HOURLY (MAINTENANCE,hourly_context,,,4
112,MULCH,MULCH,,,,,4
132,SHOW UP,SHOW UP,,,,,4
148,HOURLY (ENTRANCES),HOURLY,HOURLY (ENTRANCES,hourly_context,,,4
149,ASPAHLT SAND (STATE),ASPAHLT SAND,ASPAHLT SAND (STATE,source,,,4
155,AGLIME (HEARTLAND) (VBR),AGLIME,AGLIME (HEARTLAND,source,(VBR,source,4
