LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
424,4,3" CLEAN (BLUEWING),3" CLEAN,BLUEWING,,3" CLEAN (BLUEWING),
442,4,2" MINUS (STOCKPILE),2" MINUS,,,2" MINUS,context_tag:STOCKPILE
469,4,HOURLY HOLD TIME ,HOLD TIME,,HOURLY,HOLD TIME (HOURLY),
486,4,3" MINUS (BLUEWING),3" MINUS,BLUEWING,,3" MINUS (BLUEWING),
47,3,SAWDUST,SAWDUST,,,SAWDUST,
67,3,HOURLY (CONCRETE),CONCRETE,,HOURLY,CONCRETE (HOURLY),
100,3,FILL SAND,FILL SAND,,,FILL SAND,
108,3,WASTE ROCK,WASTE ROCK,,,WASTE ROCK,
110,3,2" BASE (CAPITAL),2" BASE,CAPITAL,,2" BASE (CAPITAL),
114,3,FILL SAND (WS),FILL SAND,WS,,FILL SAND (WS),
117,3,1" MINUS GRAY (ARAB),1" MINUS GRAY,ARAB,,1" MINUS GRAY (ARAB),
